time (s),/M0/D (A)
0.000,5.466E-12
37.05E-12,-171.0E-9
65.57E-12,-175.8E-9
118.9E-12,-199.3E-9
225.4E-12,30.21E-9
438.5E-12,29.68E-6
769.5E-12,147.8E-6
1.000E-9,242.6E-6
1.031E-9,243.0E-6
1.092E-9,242.9E-6
1.151E-9,242.9E-6
1.269E-9,242.7E-6
1.504E-9,242.3E-6
1.974E-9,241.5E-6
2.914E-9,239.6E-6
4.794E-9,231.1E-6
6.897E-9,172.5E-6
7.948E-9,121.7E-6
9.000E-9,76.58E-6
9.064E-9,70.04E-6
9.163E-9,58.79E-6
9.311E-9,42.21E-6
9.607E-9,11.10E-6
9.804E-9,412.2E-9
10.00E-9,319.8E-9
10.03E-9,172.2E-9
10.09E-9,170.5E-9
10.14E-9,169.8E-9
10.25E-9,167.0E-9
10.46E-9,163.0E-9
10.89E-9,154.2E-9
11.75E-9,139.2E-9
13.41E-9,99.84E-9
14.59E-9,68.57E-9
15.85E-9,38.51E-9
17.50E-9,18.05E-9
18.82E-9,7.579E-9
20.00E-9,5.421E-9
20.07E-9,-169.1E-9
20.17E-9,-204.7E-9
20.33E-9,6.597E-6
20.65E-9,99.59E-6
20.82E-9,169.8E-6
21.00E-9,242.5E-6
21.03E-9,242.9E-6
21.08E-9,242.9E-6
21.13E-9,242.8E-6
21.23E-9,242.6E-6
21.43E-9,242.3E-6
21.84E-9,241.6E-6
22.64E-9,240.1E-6
24.25E-9,234.5E-6
25.53E-9,218.7E-6
26.72E-9,175.1E-6
28.00E-9,113.3E-6
29.00E-9,72.12E-6
29.06E-9,66.16E-6
29.16E-9,55.74E-6
29.30E-9,40.66E-6
29.59E-9,12.54E-6
29.79E-9,456.8E-9
30.00E-9,304.5E-9
30.03E-9,172.8E-9
30.09E-9,171.0E-9
30.14E-9,170.2E-9
30.25E-9,167.3E-9
30.47E-9,163.2E-9
30.91E-9,154.2E-9
31.79E-9,138.8E-9
33.45E-9,99.30E-9
34.64E-9,68.02E-9
35.89E-9,38.16E-9
37.58E-9,17.56E-9
38.89E-9,7.386E-9
40.00E-9,5.457E-9
40.07E-9,-168.9E-9
40.17E-9,-205.7E-9
40.32E-9,5.375E-6
40.63E-9,91.65E-6
40.81E-9,165.5E-6
41.00E-9,242.5E-6
41.03E-9,242.9E-6
41.08E-9,242.9E-6
41.14E-9,242.8E-6
41.24E-9,242.6E-6
41.45E-9,242.3E-6
41.86E-9,241.6E-6
42.70E-9,239.9E-6
44.36E-9,233.8E-6
45.64E-9,215.9E-6
46.84E-9,169.5E-6
48.10E-9,108.7E-6
49.00E-9,72.18E-6
49.06E-9,66.52E-6
49.15E-9,56.40E-6
49.29E-9,42.23E-6
49.56E-9,15.81E-6
49.78E-9,569.4E-9
50.00E-9,275.2E-9
50.03E-9,172.8E-9
50.09E-9,170.9E-9
50.15E-9,170.1E-9
50.26E-9,167.1E-9
50.49E-9,162.8E-9
50.95E-9,153.5E-9
51.87E-9,137.3E-9
53.50E-9,97.87E-9
54.68E-9,66.74E-9
55.93E-9,37.44E-9
57.72E-9,16.14E-9
59.02E-9,6.844E-9
60.00E-9,5.347E-9
60.06E-9,-168.6E-9
60.16E-9,-206.3E-9
60.30E-9,3.355E-6
60.58E-9,76.28E-6
60.79E-9,156.9E-6
61.00E-9,242.5E-6
61.03E-9,242.9E-6
61.09E-9,242.8E-6
61.14E-9,242.8E-6
61.26E-9,242.6E-6
61.48E-9,242.2E-6
61.92E-9,241.5E-6
62.81E-9,239.7E-6
64.58E-9,232.3E-6
65.86E-9,209.5E-6
67.08E-9,158.1E-6
68.04E-9,111.9E-6
69.00E-9,72.34E-6
69.06E-9,66.47E-6
69.16E-9,56.12E-6
69.30E-9,41.32E-6
69.58E-9,13.72E-6
69.79E-9,491.4E-9
70.00E-9,294.0E-9
70.03E-9,172.8E-9
70.09E-9,170.9E-9
70.14E-9,170.2E-9
70.26E-9,167.2E-9
70.48E-9,163.1E-9
70.93E-9,153.9E-9
71.82E-9,138.2E-9
73.47E-9,98.78E-9
74.65E-9,67.55E-9
75.90E-9,37.90E-9
77.62E-9,17.07E-9
78.93E-9,7.200E-9
80.00E-9,5.417E-9
80.06E-9,-168.8E-9
80.16E-9,-206.1E-9
80.31E-9,4.655E-6
80.61E-9,86.56E-6
80.81E-9,162.7E-6
81.00E-9,242.5E-6
81.03E-9,242.9E-6
81.09E-9,242.8E-6
81.14E-9,242.8E-6
81.25E-9,242.6E-6
81.46E-9,242.3E-6
81.88E-9,241.6E-6
82.73E-9,239.8E-6
84.43E-9,233.3E-6
85.71E-9,213.9E-6
86.92E-9,165.8E-6
87.96E-9,115.5E-6
89.00E-9,72.18E-6
89.06E-9,66.09E-6
89.16E-9,55.52E-6
89.31E-9,40.01E-6
89.60E-9,11.08E-6
89.80E-9,419.1E-9
90.00E-9,318.2E-9
90.03E-9,172.8E-9
90.09E-9,171.0E-9
90.14E-9,170.3E-9
90.25E-9,167.4E-9
90.46E-9,163.4E-9
90.89E-9,154.6E-9
91.75E-9,139.4E-9
93.43E-9,99.96E-9
94.62E-9,68.60E-9
95.87E-9,38.49E-9
97.52E-9,18.15E-9
98.84E-9,7.600E-9
100.0E-9,5.498E-9
100.1E-9,-169.0E-9
100.2E-9,-204.9E-9
100.3E-9,6.291E-6
100.6E-9,97.67E-6
100.8E-9,168.7E-6
101.0E-9,242.5E-6
101.0E-9,242.9E-6
101.1E-9,242.9E-6
101.1E-9,242.8E-6
101.2E-9,242.6E-6
101.4E-9,242.3E-6
101.8E-9,241.6E-6
102.7E-9,240.0E-6
104.3E-9,234.3E-6
105.6E-9,218.1E-6
106.7E-9,173.7E-6
108.0E-9,112.2E-6
109.0E-9,72.11E-6
109.1E-9,66.22E-6
109.2E-9,55.87E-6
109.3E-9,41.01E-6
109.6E-9,13.30E-6
109.8E-9,478.9E-9
110.0E-9,297.6E-9
110.0E-9,172.8E-9
110.1E-9,170.9E-9
110.1E-9,170.2E-9
110.3E-9,167.3E-9
110.5E-9,163.1E-9
110.9E-9,154.0E-9
111.8E-9,138.4E-9
113.5E-9,98.97E-9
114.6E-9,67.72E-9
115.9E-9,37.99E-9
117.6E-9,17.25E-9
118.9E-9,7.269E-9
120.0E-9,5.434E-9
120.1E-9,-168.8E-9
120.2E-9,-206.0E-9
120.3E-9,4.904E-6
120.6E-9,88.36E-6
120.8E-9,163.7E-6
121.0E-9,242.5E-6
121.0E-9,242.9E-6
121.1E-9,242.8E-6
121.1E-9,242.8E-6
121.2E-9,242.6E-6
121.5E-9,242.3E-6
121.9E-9,241.6E-6
122.7E-9,239.9E-6
124.4E-9,233.5E-6
125.7E-9,214.7E-6
126.9E-9,167.1E-6
128.1E-9,106.8E-6
129.0E-9,72.22E-6
129.1E-9,66.69E-6
129.2E-9,56.70E-6
129.3E-9,42.94E-6
129.5E-9,17.26E-6
129.8E-9,637.4E-9
130.0E-9,263.2E-9
130.0E-9,172.8E-9
130.1E-9,170.9E-9
130.2E-9,170.1E-9
130.3E-9,167.0E-9
130.5E-9,162.7E-9
131.0E-9,153.1E-9
131.9E-9,136.7E-9
133.5E-9,97.25E-9
134.7E-9,66.18E-9
136.0E-9,37.13E-9
137.8E-9,15.46E-9
139.1E-9,6.572E-9
140.0E-9,5.290E-9
140.1E-9,-168.4E-9
140.2E-9,-205.9E-9
140.3E-9,2.506E-6
140.6E-9,68.38E-6
140.8E-9,152.4E-6
141.0E-9,242.5E-6
141.0E-9,242.9E-6
141.1E-9,242.8E-6
141.1E-9,242.8E-6
141.3E-9,242.6E-6
141.5E-9,242.2E-6
141.9E-9,241.4E-6
142.9E-9,239.5E-6
144.7E-9,231.4E-6
146.0E-9,205.9E-6
147.7E-9,129.8E-6
148.3E-9,99.27E-6
149.0E-9,72.96E-6
149.1E-9,67.99E-6
149.1E-9,58.60E-6
149.3E-9,46.65E-6
149.5E-9,24.06E-6
149.7E-9,1.215E-6
150.0E-9,220.1E-9
150.0E-9,172.5E-9
150.1E-9,170.0E-9
150.2E-9,169.3E-9
150.3E-9,165.7E-9
150.6E-9,161.1E-9
151.1E-9,150.4E-9
152.2E-9,131.8E-9
153.7E-9,92.79E-9
154.8E-9,62.36E-9
156.1E-9,34.83E-9
157.3E-9,20.14E-9
158.6E-9,9.056E-9
159.3E-9,7.526E-9
160.0E-9,3.958E-9
160.1E-9,-167.7E-9
160.1E-9,-201.8E-9
160.3E-9,642.8E-9
160.5E-9,42.87E-6
160.7E-9,136.8E-6
161.0E-9,242.5E-6
161.0E-9,242.9E-6
161.1E-9,242.8E-6
161.2E-9,242.7E-6
161.3E-9,242.5E-6
161.5E-9,242.1E-6
162.0E-9,241.3E-6
163.0E-9,239.1E-6
165.0E-9,227.6E-6
166.4E-9,191.1E-6
167.9E-9,117.6E-6
169.0E-9,72.54E-6
169.1E-9,66.31E-6
169.2E-9,55.58E-6
169.3E-9,39.70E-6
169.6E-9,10.02E-6
169.8E-9,395.0E-9
170.0E-9,328.2E-9
170.0E-9,172.7E-9
170.1E-9,170.9E-9
170.1E-9,170.2E-9
170.2E-9,167.5E-9
170.5E-9,163.5E-9
170.9E-9,154.8E-9
171.7E-9,139.9E-9
173.4E-9,100.4E-9
174.6E-9,69.02E-9
175.9E-9,38.73E-9
177.5E-9,18.55E-9
178.8E-9,7.745E-9
180.0E-9,5.520E-9
180.1E-9,-169.1E-9
180.2E-9,-204.2E-9
180.3E-9,6.969E-6
180.7E-9,101.9E-6
180.8E-9,171.0E-6
181.0E-9,242.5E-6
181.0E-9,242.9E-6
181.1E-9,242.9E-6
181.1E-9,242.8E-6
181.2E-9,242.6E-6
181.4E-9,242.3E-6
181.8E-9,241.7E-6
182.6E-9,240.1E-6
184.2E-9,234.6E-6
185.5E-9,219.4E-6
186.7E-9,176.6E-6
188.0E-9,114.5E-6
189.0E-9,72.06E-6
189.1E-9,66.03E-6
189.2E-9,55.53E-6
189.3E-9,40.21E-6
189.6E-9,11.65E-6
189.8E-9,433.3E-9
190.0E-9,312.8E-9
190.0E-9,172.8E-9
190.1E-9,171.0E-9
190.1E-9,170.3E-9
190.2E-9,167.4E-9
190.5E-9,163.4E-9
190.9E-9,154.4E-9
191.8E-9,139.2E-9
193.4E-9,99.70E-9
194.6E-9,68.37E-9
195.9E-9,38.36E-9
197.5E-9,17.92E-9
198.9E-9,7.519E-9
200.0E-9,5.484E-9
